time,x,y,z
7.889,-0.9702788346,-1.6905576692,1
7.89,-0.9701265965,-1.690253193,1
7.891,-0.9699739754,-1.6899479508,1
7.892,-0.9698209714,-1.6896419428,1
7.893,-0.9696675845,-1.6893351691,1
7.894,-0.9695138148,-1.6890276297,1
7.895,-0.9693596624,-1.6887193248,1
7.896,-0.9692051273,-1.6884102546,1
7.897,-0.9690502095,-1.6881004191,1
7.898,-0.9688949092,-1.6877898184,1
7.899,-0.9687392264,-1.6874784528,1
7.9,-0.9685831611,-1.6871663223,1
7.901,-0.9684267135,-1.686853427,1
7.902,-0.9682698835,-1.686539767,1
7.903,-0.9681126713,-1.6862253426,1
7.904,-0.9679550769,-1.6859101538,1
7.905,-0.9677971003,-1.6855942007,1
7.906,-0.9676387417,-1.6852774834,1
7.907,-0.9674800011,-1.6849600022,1
7.908,-0.9673208785,-1.684641757,1
7.909,-0.967161374,-1.6843227481,1
7.91,-0.9670014878,-1.6840029755,1
7.911,-0.9668412197,-1.6836824395,1
7.912,-0.96668057,-1.68336114,1
7.913,-0.9665195386,-1.6830390773,1
7.914,-0.9663581257,-1.6827162514,1
7.915,-0.9661963313,-1.6823926626,1
7.916,-0.9660341554,-1.6820683108,1
7.917,-0.9658715982,-1.6817431963,1
7.918,-0.9657086596,-1.6814173192,1
7.919,-0.9655453398,-1.6810906796,1
7.92,-0.9653816388,-1.6807632777,1
7.921,-0.9652175567,-1.6804351135,1
7.922,-0.9650530936,-1.6801061872,1
7.923,-0.9648882494,-1.6797764989,1
7.924,-0.9647230244,-1.6794460488,1
7.925,-0.9645574185,-1.6791148369,1
7.926,-0.9643914317,-1.6787828635,1
7.927,-0.9642250643,-1.6784501286,1
7.928,-0.9640583162,-1.6781166324,1
7.929,-0.9638911875,-1.677782375,1
7.93,-0.9637236783,-1.6774473566,1
7.931,-0.9635557886,-1.6771115772,1
7.932,-0.9633875185,-1.676775037,1
7.933,-0.9632188681,-1.6764377362,1
7.934,-0.9630498374,-1.6760996749,1
7.935,-0.9628804266,-1.6757608531,1
7.936,-0.9627106356,-1.6754212711,1
7.937,-0.9625404645,-1.675080929,1
7.938,-0.9623699134,-1.6747398269,1
7.939,-0.9621989824,-1.6743979649,1
7.94,-0.9620276716,-1.6740553432,1
7.941,-0.9618559809,-1.6737119619,1
7.942,-0.9616839106,-1.6733678211,1
7.943,-0.9615114605,-1.6730229211,1
7.944,-0.9613386309,-1.6726772619,1
7.945,-0.9611654218,-1.6723308436,1
7.946,-0.9609918332,-1.6719836664,1
7.947,-0.9608178652,-1.6716357304,1
7.948,-0.9606435179,-1.6712870359,1
7.949,-0.9604687914,-1.6709375828,1
7.95,-0.9602936857,-1.6705873714,1
7.951,-0.9601182009,-1.6702364017,1
7.952,-0.959942337,-1.669884674,1
7.953,-0.9597660942,-1.6695321883,1
7.954,-0.9595894724,-1.6691789448,1
7.955,-0.9594124719,-1.6688249437,1
7.956,-0.9592350925,-1.6684701851,1
7.957,-0.9590573345,-1.668114669,1
7.958,-0.9588791979,-1.6677583957,1
7.959,-0.9587006827,-1.6674013654,1
7.96,-0.958521789,-1.667043578,1
7.961,-0.9583425169,-1.6666850339,1
7.962,-0.9581628665,-1.666325733,1
7.963,-0.9579828378,-1.6659656757,1
7.964,-0.957802431,-1.6656048619,1
7.965,-0.957621646,-1.6652432919,1
7.966,-0.9574404829,-1.6648809658,1
7.967,-0.9572589419,-1.6645178837,1
